DATE,TIME,STATUS,NAME,TYPE,SOURCE,PRESENT,TECHNOLOGY,CYCLE_COUNT,VOLTAGE_MIN_DESIGN,VOLTAGE_NOW,CURRENT_NOW,CHARGE_FULL_DESIGN,CHARGE_FULL,CHARGE_NOW,CAPACITY,CAPACITY_LEVEL,MODEL_NAME,MANUFACTURER,SERIAL_NUMBER
07/30/23,22:57:13,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,11602000,13000,3684000,1814000,610000,33,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,22:53:45,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11511000,174000,3684000,1814000,610000,33,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,22:08:34,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11660000,12000,3684000,1814000,631000,34,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,22:08:21,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11976000,3684000,1814000,630000,34,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:52:34,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,11819000,1051000,3684000,1814000,358000,19,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:49:56,Suspended,BAT0,Battery,Not-charging,1,Li-ion,0,11400000,11397000,1000,3684000,1814000,317000,17,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:42:02,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11497000,133000,3684000,1814000,322000,17,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:41:58,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11789000,3684000,1814000,322000,17,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:33:46,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,11285000,82000,3684000,1814000,180000,9,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:06:28,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11283000,109000,3684000,1814000,361000,19,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,21:00:52,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11414000,19000,3684000,1814000,361000,19,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,20:45:12,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,10614000,2103000,3684000,1814000,370000,20,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
07/30/23,19:26:22,Suspended,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11176000,537000,3684000,1814000,392000,21,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
