DATE,TIME,STATUS,SOURCE,CAPACITY,CAPACITY_LEVEL
2023-07-30,22:57:13,Active,Charging,33,Normal
2023-07-30,22:53:45,Active,Discharging,33,Normal
2023-07-30,22:08:34,Active,Discharging,34,Normal
2023-07-30,21:52:34,Active,Charging,19,Normal
2023-07-30,21:49:56,Suspended,Not-charging,17,Normal
2023-07-30,21:42:02,Active,Discharging,17,Normal
2023-07-30,21:33:46,Active,Charging,9,Normal
2023-07-30,21:06:28,Active,Discharging,19,Normal
2023-07-30,21:00:52,Active,Discharging,19,Normal
2023-07-30,20:45:12,Active,Discharging,20,Normal
2023-07-30,19:26:22,Suspended,Discharging,21,Normal
2023-07-30,19:23:09,Active,Discharging,23,Normal
2023-07-30,19:23:03,Active,Discharging,23,Normal
2023-07-30,19:22:07,Active,Discharging,23,Normal
2023-07-30,19:21:40,Active,Discharging,23,Normal
2023-07-30,19:21:30,Active,Discharging,23,Normal
2023-07-30,19:19:10,Active,Discharging,24,Normal
2023-07-30,19:18:54,Active,Discharging,24,Normal
2023-07-30,19:18:46,Active,Discharging,24,Normal
2023-07-30,19:14:52,Active,Discharging,24,Normal
2023-07-30,19:11:43,Active,Discharging,24,Normal
2023-07-30,19:09:28,Active,Discharging,24,Normal
2023-07-30,19:04:18,Active,Charging,21,Normal
2023-07-30,18:55:50,Active,Discharging,25,Normal
2023-07-30,18:55:18,Active,Discharging,25,Normal
2023-07-30,18:54:49,Active,Discharging,25,Normal
2023-07-30,18:54:37,Active,Discharging,25,Normal
2023-07-30,18:25:52,Active,Charging,10,Normal
2023-07-30,15:55:42,Active,Discharging,49,Normal
2023-07-30,15:51:45,Active,Discharging,49,Normal
2023-07-30,15:51:41,Active,Discharging,49,Normal
2023-07-30,15:43:06,Active,Discharging,50,Normal
2023-07-30,15:40:39,Active,Discharging,50,Normal
2023-07-30,15:37:55,Active,Discharging,50,Normal
2023-07-30,15:37:47,Active,Discharging,50,Normal
2023-07-30,15:35:36,Active,Discharging,50,Normal
2023-07-30,15:35:22,Active,Discharging,50,Normal
2023-07-30,15:35:13,Active,Discharging,50,Normal
2023-07-30,15:35:01,Active,Discharging,50,Normal
2023-07-30,15:17:07,Active,Discharging,50,Normal
2023-07-30,15:13:27,Active,Discharging,50,Normal
2023-07-30,15:13:07,Active,Discharging,50,Normal
2023-07-30,15:12:22,Active,Discharging,50,Normal
2023-07-30,15:09:47,Active,Discharging,50,Normal
2023-07-30,15:08:11,Active,Discharging,50,Normal
2023-07-30,15:07:04,Active,Discharging,50,Normal
2023-07-30,14:47:35,Active,Charging,34,Normal
2023-07-30,14:46:19,Suspended,Discharging,34,Normal
2023-07-30,14:46:07,Active,Discharging,34,Normal
2023-07-30,10:23:42,Active,Charging,35,Normal
2023-07-30,10:06:20,Active,Charging,18,Normal
2023-07-30,09:49:44,Suspended,Discharging,3,Critical
2023-07-30,08:35:06,Active,Not-charging,3,Critical
2023-07-30,00:34:33,Suspended,Discharging,4,Critical
2023-07-29,22:42:21,Active,Discharging,66,Normal
2023-07-29,22:42:07,Active,Discharging,66,Normal
2023-07-29,22:41:53,Active,Discharging,66,Normal
2023-07-29,22:40:24,Active,Discharging,66,Normal
2023-07-29,22:35:06,Active,Charging,62,Normal
2023-07-29,21:46:17,Active,Charging,74,Normal
2023-07-29,21:46:10,Active,Discharging,74,Normal
2023-07-29,21:44:38,Active,Discharging,74,Normal
2023-07-29,21:43:15,Active,Discharging,74,Normal
2023-07-29,21:42:52,Active,Discharging,74,Normal
2023-07-29,21:34:55,Active,Discharging,74,Normal
2023-07-29,21:34:13,Active,Discharging,74,Normal
2023-07-29,21:33:46,Active,Discharging,74,Normal
2023-07-29,21:31:19,Active,Discharging,74,Normal
2023-07-29,21:29:42,Active,Discharging,74,Normal
2023-07-29,21:25:10,Active,Charging,70,Normal
2023-07-29,21:24:58,Active,Discharging,70,Normal
2023-07-29,20:58:18,Active,Discharging,71,Normal
2023-07-29,20:58:12,Active,Discharging,71,Normal
2023-07-29,20:57:32,Active,Discharging,71,Normal
2023-07-29,20:56:43,Active,Discharging,71,Normal
2023-07-29,20:55:17,Active,Discharging,71,Normal
2023-07-29,20:45:38,Active,Discharging,71,Normal
2023-07-29,20:14:24,Active,Charging,42,Normal
2023-07-29,19:42:50,Active,Discharging,66,Normal
2023-07-29,19:42:13,Active,Discharging,66,Normal
2023-07-29,19:33:03,Active,Discharging,66,Normal
2023-07-29,19:32:12,Active,Discharging,66,Normal
2023-07-29,19:32:08,Active,Discharging,66,Normal
2023-07-29,18:42:03,Active,Charging,23,Normal
2023-07-29,18:41:47,Active,Charging,23,Normal
2023-07-29,18:37:18,Active,Discharging,27,Normal
2023-07-29,18:36:36,Suspended,Discharging,27,Normal
2023-07-29,14:37:55,Active,Charging,29,Normal
2023-07-29,14:30:36,Active,Charging,31,Normal
2023-07-29,14:28:43,Active,Charging,30,Normal
2023-07-29,14:28:00,Active,Discharging,30,Normal
2023-07-29,14:26:38,Active,Charging,30,Normal
2023-07-29,14:26:01,Active,Charging,30,Normal
2023-07-29,14:25:55,Active,Charging,30,Normal
2023-07-29,14:25:51,Active,Discharging,30,Normal
2023-07-29,14:25:39,Active,Discharging,30,Normal
2023-07-29,14:25:35,Active,Discharging,30,Normal
2023-07-29,14:25:27,Active,Charging,30,Normal
2023-07-29,14:25:10,Active,Charging,30,Normal
2023-07-29,14:24:28,Active,Charging,30,Normal
2023-07-29,14:23:48,Active,Discharging,30,Normal
2023-07-29,14:23:12,Active,Discharging,30,Normal
2023-07-29,14:23:09,Active,Charging,30,Normal
2023-07-29,14:22:49,Active,Discharging,30,Normal
2023-07-29,14:22:25,Active,Charging,30,Normal
2023-07-29,14:22:05,Active,Discharging,30,Normal
2023-07-29,13:39:23,Active,Discharging,51,Normal
2023-07-29,13:39:14,Active,Discharging,51,Normal
2023-07-29,13:39:00,Active,Discharging,51,Normal
2023-07-29,13:37:05,Active,Discharging,52,Normal
2023-07-29,13:36:55,Active,Discharging,52,Normal
2023-07-29,13:28:08,Active,Charging,51,Normal
2023-07-29,13:23:22,Active,Charging,47,Normal
2023-07-29,06:52:15,Active,Discharging,98,Normal
2023-07-28,20:50:02,Suspended,Not-charging,98,Normal
2023-07-28,20:48:49,Active,Discharging,98,Normal
2023-07-28,20:47:51,Active,Discharging,98,Normal
2023-07-28,20:27:11,Active,Discharging,98,Normal
2023-07-28,20:27:06,Active,Discharging,98,Normal
2023-07-28,20:23:45,Active,Charging,98,Normal
2023-07-28,20:23:29,Active,Discharging,98,Normal
2023-07-28,19:40:32,Active,Charging,83,Normal
2023-07-28,17:33:52,Active,Discharging,83,Normal
2023-07-28,17:33:48,Active,Discharging,83,Normal
2023-07-28,17:06:41,Active,Discharging,84,Normal
2023-07-28,17:04:41,Active,Discharging,84,Normal
2023-07-28,17:03:30,Active,Discharging,84,Normal
2023-07-28,16:57:57,Active,Discharging,84,Normal
2023-07-28,16:49:03,Active,Discharging,84,Normal
2023-07-28,16:35:12,Active,Discharging,84,Normal
2023-07-28,16:18:32,Active,Charging,73,Normal
2023-07-28,16:14:15,Active,Discharging,77,Normal
2023-07-28,15:21:34,Active,Charging,41,Normal
2023-07-28,15:21:28,Active,Discharging,41,Normal
2023-07-28,15:20:29,Active,Discharging,41,Normal
2023-07-28,15:20:17,Active,Discharging,41,Normal
2023-07-28,15:16:51,Active,Discharging,41,Normal
2023-07-28,15:13:12,Active,Discharging,41,Normal
2023-07-28,15:08:56,Active,Charging,37,Normal
2023-07-28,15:04:14,Active,Discharging,41,Normal
2023-07-28,15:02:03,Active,Charging,42,Normal
2023-07-28,15:01:08,Active,Discharging,42,Normal
2023-07-28,14:58:41,Active,Charging,40,Normal
2023-07-28,14:58:35,Active,Discharging,40,Normal
2023-07-28,14:57:44,Active,Discharging,41,Normal
2023-07-28,14:56:27,Active,Discharging,42,Normal
2023-07-28,14:55:01,Active,Charging,41,Normal
2023-07-28,14:54:44,Active,Discharging,41,Normal
2023-07-28,14:53:18,Active,Charging,39,Normal
2023-07-28,14:53:11,Active,Discharging,40,Normal
2023-07-28,14:28:08,Active,Charging,15,Normal
2023-07-28,13:50:26,Active,Charging,25,Normal
2023-07-28,13:49:27,Active,Charging,24,Normal
2023-07-28,13:48:47,Active,Charging,24,Normal
2023-07-28,13:44:41,Active,Discharging,25,Normal
2023-07-28,13:44:39,Active,Charging,25,Normal
2023-07-28,13:17:01,Active,Charging,47,Normal
2023-07-28,13:16:55,Active,Discharging,47,Normal
2023-07-28,13:16:49,Active,Charging,47,Normal
2023-07-28,13:14:36,Active,Charging,45,Normal
2023-07-28,13:14:21,Active,Charging,45,Normal
2023-07-28,13:14:15,Active,Discharging,45,Normal
2023-07-28,13:04:51,Active,Discharging,52,Normal
2023-07-28,13:04:18,Active,Discharging,52,Normal
2023-07-28,13:03:54,Active,Charging,52,Normal
2023-07-28,13:03:12,Active,Discharging,52,Normal
2023-07-28,13:03:01,Active,Discharging,52,Normal
2023-07-28,13:02:17,Active,Charging,52,Normal
2023-07-28,12:59:58,Active,Charging,51,Normal
2023-07-28,12:59:40,Active,Charging,50,Normal
2023-07-28,12:58:37,Active,Charging,50,Normal
2023-07-28,12:58:28,Active,Charging,50,Normal
2023-07-28,12:57:41,Active,Charging,49,Normal
2023-07-28,12:57:35,Active,Discharging,49,Normal
2023-07-28,12:57:21,Active,Charging,49,Normal
2023-07-28,12:57:06,Active,Charging,49,Normal
2023-07-28,12:56:22,Active,Charging,48,Normal
2023-07-28,12:56:17,Active,Discharging,48,Normal
2023-07-28,12:56:01,Active,Discharging,49,Normal
2023-07-28,12:39:37,Active,Charging,36,Normal
2023-07-28,12:26:37,Active,Charging,24,Normal
2023-07-28,12:10:10,Active,Discharging,25,Normal
2023-07-28,11:58:01,Active,Discharging,25,Normal
2023-07-28,11:40:52,Active,Charging,11,Normal
2023-07-28,11:34:45,Active,Discharging,16,Normal
2023-07-28,11:26:27,Active,Discharging,16,Normal
2023-07-28,11:24:18,Active,Discharging,16,Normal
2023-07-28,11:19:07,Active,Discharging,16,Normal
2023-07-28,11:18:15,Active,Discharging,16,Normal
2023-07-28,11:18:03,Active,Discharging,16,Normal
2023-07-28,11:17:16,Active,Discharging,16,Normal
2023-07-28,11:16:52,Active,Discharging,16,Normal
2023-07-28,11:16:44,Active,Discharging,16,Normal
2023-07-28,11:16:19,Active,Discharging,16,Normal
2023-07-28,11:15:51,Active,Discharging,16,Normal
2023-07-28,11:14:56,Active,Discharging,16,Normal
2023-07-28,11:11:16,Active,Discharging,16,Normal
2023-07-28,11:09:07,Active,Discharging,16,Normal
2023-07-28,11:06:02,Active,Discharging,16,Normal
2023-07-28,11:05:00,Active,Discharging,16,Normal
2023-07-28,11:04:41,Active,Discharging,16,Normal
