,DATE,CAPACITY
0,2024-02-09,90.85
1,2024-02-10,88.9
2,2024-02-11,52.5
3,2024-02-12,54.0
4,2024-02-13,1.5
5,2024-02-14,2.0
6,2024-02-15,35.5
7,2024-02-16,49.8
8,2024-02-17,88.44
9,2024-02-18,72.11
10,2024-02-19,100.0
11,2024-02-20,2.0
12,2024-02-22,25.25
13,2024-02-23,61.68
14,2024-02-24,71.38
15,2024-02-25,77.29
16,2024-02-26,92.0
17,2024-02-27,78.22
18,2024-02-28,100.0
19,2024-02-29,85.88
20,2024-03-01,66.42
21,2024-03-02,74.29
22,2024-03-03,77.22
23,2024-03-04,8.5
24,2024-03-05,1.0
25,2024-03-06,78.57
26,2024-03-07,94.14
27,2024-03-08,51.4
28,2024-03-09,88.0
