DATE,TIME,STATUS,NAME,TYPE,SOURCE,PRESENT,TECHNOLOGY,CYCLE_COUNT,VOLTAGE_MIN_DESIGN,VOLTAGE_NOW,CURRENT_NOW,CHARGE_FULL_DESIGN,CHARGE_FULL,CHARGE_NOW,CAPACITY,CAPACITY_LEVEL,MODEL_NAME,MANUFACTURER,SERIAL_NUMBER
09/05/23,12:42:51,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,11499000,2348000,3684000,1689000,1678000,99,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:22:08,Suspended,BAT0,Battery,Charging,1,Li-ion,0,11400000,12532000,588000,3684000,1689000,1550000,91,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:19:41,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,12499000,933000,3684000,1689000,1521000,90,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:11:30,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12048000,881000,3684000,1689000,1620000,95,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:09:19,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12160000,625000,3684000,1689000,1644000,97,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:08:49,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12423000,1000,3684000,1689000,1645000,97,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:08:29,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12232000,439000,3684000,1689000,1646000,97,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:02:09,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,12538000,465000,3684000,1689000,1620000,95,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,23:01:38,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12400000,205000,3684000,1689000,1620000,95,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,22:59:38,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12183000,306000,3684000,1689000,1621000,95,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,22:58:48,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12225000,1000,3684000,1689000,1626000,96,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,22:51:07,Active,BAT0,Battery,Charging,1,Li-ion,0,11400000,12445000,289000,3684000,1689000,1578000,93,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
09/04/23,22:43:16,Active,BAT0,Battery,Discharging,1,Li-ion,0,11400000,12058000,889000,3684000,1689000,1581000,93,Normal,DELL-FDRHM08,LGC-LGC3.65,34838
